	(1)	(2)	(3)	(4)	(5)
	Homeworking, binary	Homeworking, binary	Homeworking, binary	Homeworking, binary	Homeworking, binary
R-squared	0.151	0.159	0.227	0.274	0.195
Observations	1477077	1418679	1157673	1031164	5084593
