ES	-0.0733***	-0.0677***	-0.0835***	-0.0798***	-0.0760***
FI	0.0336***	0.0393***	0.0444***	0.0661***	0.0456***
FR	-0.0218***	-0.0165***	-0.0266***	-0.00182	-0.0154***
HR	-0.0768***	-0.0731***	-0.113***	-0.0841***	-0.0869***
HU	-0.0688***	-0.0792***	-0.108***	-0.0903***	-0.0858***
IE	-0.0310***	-0.0276***	0.00435**	0.0844***	0.00921***
IT	-0.0845***	-0.0853***	-0.0678***	-0.0708***	-0.0772***
LT	-0.0852***	-0.0880***	-0.134***	-0.0957***	-0.101***
LU	0.0186***	0.0217***	0.0391***	0.0565***	0.0352***
LV	-0.0790***	-0.0805***	-0.138***	-0.0806***	-0.0944***
NL	0.0448***	0.0469***	0.00203	0.0716***	0.0425***
PL	-0.0589***	-0.0586***	-0.0863***	-0.0904***	-0.0732***
PT	-0.0375***	-0.0347***	-0.0366***	-0.0192***	-0.0307***
RO	-0.0983***	-0.0946***	-0.124***	-0.101***	-0.103***
SE	0.00903***	0.0171***	-0.0544***	0.0832***	0.0136***
SK	-0.0607***	-0.0613***	-0.0975***	-0.0761***	-0.0726***
Constant	0.0432***	0.0410***	0.0947***	0.107***	0.0715***
R-squared	0.170	0.177	0.187	0.235	0.173
Observations	1477097	1418697	1157692	1031211	5084697
