Probability of person working from home, at least some of the time
	(1)	(2)	(3)	(4)
ES61_Andalucía	0.166***	0.177***	0.494***	-0.0523***
ES62_Región de Murcia	0.286***	0.219***	0.498***	-0.0861***
ES63_Ciudad de Ceuta	0.385***	0.239***	0.541***	-0.107***
ES64_Ciudad de Melilla	0.279***	0.205***	0.690***	-0.113**
ES70_Canarias	0.256***	0.197***	0.529***	-0.0948***
FI19_Länsi-Suomi	0.629***	0.431***	0.757***	0.171***
FI1B_Helsinki-Uusimaa	0.344***	0.216***	0.388***	0.0998***
FI1C_Etelä-Suomi	0.555***	0.469***	0.732***	0.157***
FI1D_Pohjois- ja Itä-Suomi	0.550***	0.385***	0.520***	0.170***
FI20_Åland	-0.134***	-0.148**	-0.793***	0.326***
FR10_Ile-de-France	-0.0251***	-0.0232**	-0.0824***	0.0345***
FRB0_Centre — Val de Loire	0.265***	0.144***	-0.00719	0.130***
FRC1_Bourgogne	0.0863***	0.110***	-0.126***	0.172***
FRC2_Franche-Comté	0.0798***	0.119***	-0.0873*	0.133***
FRD1_Basse-Normandie	0.194***	0.0464**	-0.190***	0.144***
FRD2_Haute-Normandie	0.201***	0.131***	-0.0322	0.161***
FRE1_Nord-Pas de Calais	0.215***	0.193***	0.0777***	0.140***
FRE2_Picardie	0.254***	0.106***	-0.102***	0.136***
FRF1_Alsace	0.261***	0.142***	-0.000428	0.156***
FRF2_Champagne-Ardenne	0.144***	0.0815***	-0.180***	0.145***
FRF3_Lorraine	0.205***	0.158***	0.0365	0.109***
FRG0_Pays de la Loire	0.274***	0.255***	0.209***	0.119***
FRH0_Bretagne	0.209***	0.218***	0.154***	0.161***
FRI1_Aquitaine	0.289***	0.200***	0.148***	0.119***
FRI2_Limousin	-0.221***	-0.0324	-0.460***	0.214***
FRI3_Poitou-Charentes	0.226***	0.170***	0.0859***	0.158***
FRJ1_Languedoc-Roussillon	0.252***	0.120***	-0.0413	0.178***
FRJ2_Midi-Pyrénées	0.221***	0.170***	0.0653**	0.185***
FRK1_Auvergne	0.230***	0.0739**	-0.169***	0.143***
FRK2_Rhône-Alpes	0.225***	0.233***	0.202***	0.149***
FRL0_Provence-Alpes-Côte d'Azur	0.248***	0.195***	0.100***	0.127***
FRM0_Corse	0.0223	0.0326	-0.191**	0.126***
FRY1_Guadeloupe	-0.439***	-0.0734***	-0.416***	0.156***
FRY2_Martinique	-0.0539**	-0.0138	-0.259***	0.0975***
FRY3_Guyane	-0.413***	0.0681***	-0.0675	0.135***
FRY4_La Réunion	0.154***	-0.147***	-0.685***	0.113***
HR03_Jadranska Hrvatska	0.165***	0.0704***	0.198***	-0.0148*
HR04_Kontinentalna Hrvatska (old)	-0.360***	-0.389***	-0.528***	
HU11_Budapest	-0.0952***	-0.164***	0.0110	-0.127***
HU12_Pest	0.277***	0.122***	0.132***	-0.104***
HU21_Közép-Dunántúl	0.244***	0.123***	0.290***	-0.0544***
HU22_Nyugat-Dunántúl	0.213***	0.103***	0.0702***	-0.0512***
HU23_Dél-Dunántúl	0.113***	0.0879***	0.0857***	-0.0396***
HU31_Észak-Magyarország	0.0344***	0.0252***	0.00435	0.0160**
HU32_Észak-Alföld	-0.0241***	0.0315***	0.0420***	-0.0391***
HU33_Dél-Alföld	0.0151***	0.0107**	-0.0859***	-0.0338***
IE04_Northern and Western	0.196***	0.170***	0.603***	0.125***
IE05_Southern	0.384***	0.288***	0.414***	0.158***
IE06_Eastern and Midland	0.0484***	-0.0237***	0.0580***	0.0445***
ITC1_Piemonte	0.151***	0.0179**	0.163***	0.0128**
ITC2_Valle d'Aosta/Vallée d'Aoste	0.0476***	0.0426***	0.00401	-0.0331***
ITC3_Liguria	0.158***	0.0302***	0.247***	-0.00306
ITC4_Lombardia	0.213***	0.0925***	0.291***	0.0206***
ITF1_Abruzzo	0.0891***	0.0414***	0.0494***	-0.0307***
ITF2_Molise	-0.185***	-0.136***	-0.291***	-0.0274**
ITF3_Campania	-0.0458***	-0.0905***	-0.00711	-0.0226***
ITF4_Puglia	-0.0467***	-0.112***	-0.189***	0.00840
ITF5_Basilicata	-0.00232	-0.0908***	-0.167***	-0.00719
ITF6_Calabria	-0.158***	-0.128***	-0.383***	-0.000594
ITG1_Sicilia	-0.128***	-0.130***	-0.256***	-0.00208
ITG2_Sardegna	0.198***	0.0359***	0.0357***	0.00212
ITH1_Provincia Autonoma di Bolzano/Bozen	0.194***	0.104***	0.310***	0.0167**
ITH2_Provincia Autonoma di Trento	0.270***	0.189***	0.455***	-0.0191**
ITH3_Veneto	0.212***	0.117***	0.305***	-0.00862
ITH4_Friuli-Venezia Giulia	0.136***	0.112***	0.375***	-0.00678
ITH5_Emilia-Romagna	0.279***	0.130***	0.339***	-0.0146*
ITI1_Toscana	0.204***	0.0667***	0.318***	-0.00770
ITI2_Umbria	0.125***	0.0585***	0.0772***	-0.0179**
ITI3_Marche	0.224***	0.0688***	0.229***	-0.00255
ITI4_Lazio	-0.281***	-0.292***	-0.135***	-0.117***
LT01_Sostinės regionas	-0.392***	-0.381***	-0.473***	-0.166***
LT02_Vidurio ir vakarų Lietuvos regionas	-0.0397***	-0.0331***	-0.245***	-0.0455***
LU00_Luxembourg	0.642***	0.522***	0.755***	0.173***
LV00_Latvia	0.0278***	0.0306***	0.0986***	-0.0509***
NL00_The Netherlands	0.814***	0.625***	0.847***	0.293***
PL21_Małopolskie	0.0978***	0.103***	0.302***	-0.0532***
PL22_Śląskie	0.0811***	0.111***	0.285***	-0.0602***
PL41_Wielkopolskie	0.170***	0.0975***	0.268***	-0.0352***
PL42_Zachodniopomorskie	0.128***	0.0540***	0.231***	-0.0736***
PL43_Lubuskie	0.124***	0.0448***	0.212***	-0.104***
PL51_Dolnośląskie	0.00683	0.172***	0.343***	-0.0195*
PL52_Opolskie	-0.0652***	0.0727***	0.255***	-0.114***
PL61_Kujawsko-pomorskie	0.211***	0.150***	0.346***	-0.0123
PL62_Warmińsko-mazurskie	0.162***	0.112***	0.314***	-0.0511***
PL63_Pomorskie	0.219***	0.154***	0.338***	-0.0143
PL71_Łódzkie	-0.0474***	0.0354***	0.255***	-0.00579
PL72_Świętokrzyskie	-0.0991***	-0.0232***	0.157***	-0.106***
PL81_Lubelskie	0.0532***	0.0769***	0.200***	-0.0434***
PL82_Podkarpackie	0.0890***	0.0795***	0.191***	-0.0688***
PL84_Podlaskie	0.0765***	0.0766***	0.189***	-0.0818***
PL91_Warszawski stołeczny	-0.181***	-0.177***	-0.0219*	-0.160***
PL92_Mazowiecki regionalny	0.188***	0.118***	0.396***	-0.0947***
PT11_Norte	-0.0191**	-0.0444***	-0.146***	0.121***
PT15_Algarve	-0.0230***	0.00387	0.0359***	0.0903***
PT16_Centro (PT)	-0.0376***	-0.0413***	-0.186***	0.120***
PT17_Área Metropolitana de Lisboa	-0.104***	-0.148***	-0.129***	0.0239
